Name,Age,Gender,Medical Condition,Date of Admission,Doctor,Billing Amount,Admission Type,Discharge Date,Medication,Test Results,MaHoSo,MaNV,MaBN,examination date,year of birth,Address,citizen identification,phone number,health insurance,Treatment department
mIchElLe daniELs,72,Male,Cancer,19/04/2020,John Duncan,12576.79561,Urgent,22/04/2020,Paracetamol,Normal,HOSO5411,NV492,BN7161,16/12/1998,02/09/1973,"0581 Christine Island
Port Royport, MA 02520",9.83E+11,84687666376,9317652941,N���
aaRon MARtiNeZ,38,Female,Hypertension,13/08/2023,Douglas Mayo,7999.58688,Urgent,05/09/2023,Lipitor,Inconclusive,HOSO3101,NV375,BN8034,23/09/1947,19/08/2019,"437 William Falls Suite 251
Joelburgh, NH 63825",6.72E+11,84083683079,5381900260,Ngo���
connOR HANsEn,75,Female,Diabetes,12/12/2019,Kenneth Fletcher,43282.28336,Emergency,28/12/2019,Penicillin,Abnormal,HOSO9142,NV676,BN6461,08/12/2016,08/03/1965,"3185 Mason Viaduct Apt. 672
Lopezport, UT 17993",2.27E+11,84130220632,8803733372,N���
rObeRt bAuer,68,Female,Asthma,22/05/2020,Theresa Freeman,33207.70663,Urgent,19/06/2020,Lipitor,Normal,HOSO6723,NV873,BN5800,11/04/1969,09/11/1992,"9454 Guerrero Radial
North Jennifermouth, MS 79395",9.22E+11,84254795278,1172333021,Ngo���
bROOkE brady,44,Female,Cancer,08/10/2021,Roberta Stewart,40701.59923,Urgent,13/10/2021,Paracetamol,Normal,HOSO8025,NV269,BN5677,20/10/1969,13/02/1945,"58771 Johnson Pine Suite 747
West Jamiemouth, KY 83149",2.64E+11,84642480521,9731123837,Da li��
MS. nAtalIE gAMble,46,Female,Obesity,01/01/2023,Maria Dougherty,12263.35743,Elective,11/01/2023,Aspirin,Inconclusive,HOSO6779,NV245,BN4041,19/07/1941,12/01/1982,"60558 Roberts Tunnel Suite 860
Hunterside, FL 64490",4.27E+11,84824104850,9326160068,Tim m��
haley perkins,63,Female,Arthritis,23/06/2020,Erica Spencer,24499.8479,Elective,14/07/2020,Paracetamol,Normal,HOSO3380,NV728,BN3537,09/07/1999,04/07/2016,"Unit 7046 Box 0019
DPO AE 19252",5.63E+11,84918749003,6692479326,Nhi khoa
mRS. jamiE cAMPBELl,38,Male,Obesity,08/03/2020,Justin Kim,17440.46544,Urgent,02/04/2020,Paracetamol,Abnormal,HOSO5200,NV882,BN4001,22/12/1992,21/04/1953,"6332 Gibson Village
Gonzalesmouth, OR 39955",5.08E+11,84550349956,1221505404,Ngo���
LuKE BuRgEss,34,Female,Hypertension,04/03/2021,Justin Moore Jr.,18843.02302,Elective,14/03/2021,Aspirin,Abnormal,HOSO9825,NV118,BN7788,14/11/1991,02/03/2001,"4925 Reynolds Green Suite 013
New Kennethborough, SC 31735",7.22E+11,84940923696,1103526246,Nhi khoa
dANIEL schmIdt,63,Male,Asthma,15/11/2022,Denise Galloway,23762.20358,Elective,22/11/2022,Penicillin,Normal,HOSO6583,NV260,BN3973,11/05/2023,14/10/2011,"63446 Lee Knolls Apt. 491
Lake Robin, IN 58617",2.57E+11,84939361620,8663340863,N���
tIMOTHY burNs,67,Female,Asthma,28/06/2023,Krista Smith,42.51458855,Elective,02/07/2023,Aspirin,Normal,HOSO9100,NV323,BN8415,17/03/1990,08/03/2014,"566 Hurst Estates Apt. 999
New Savannah, KS 62164",2.65E+11,84504459410,8555916892,N���
ChRISToPHEr BRiGhT,48,Male,Asthma,21/01/2020,Gregory Smith,17695.91162,Urgent,09/02/2020,Lipitor,Normal,HOSO3012,NV450,BN5891,10/07/2021,24/09/1971,"44157 Karen Drives
Lisaland, CO 69702",6.62E+11,84100582816,1545253028,Ngo���
KatHRYn StewArt,58,Female,Arthritis,12/05/2022,Vanessa Newton,5998.102908,Urgent,10/06/2022,Lipitor,Inconclusive,HOSO1508,NV698,BN4924,23/10/1989,02/09/1979,"81116 Conley Stream Apt. 046
Brookeberg, NJ 90302",9.82E+11,84841155389,5353919970,Da li��
dR. EilEEn thomPsoN,59,Male,Asthma,02/08/2021,Donna Martinez MD,25250.05243,Urgent,12/08/2021,Lipitor,Inconclusive,HOSO6276,NV666,BN7466,13/05/1936,06/01/2020,"Unit 8261 Box 0352
DPO AP 05391",8.92E+11,84233493727,9118777618,Tim m��
PAUl hEndERsOn,72,Female,Hypertension,15/05/2020,Stephanie Kramer,33211.29542,Emergency,08/06/2020,Paracetamol,Inconclusive,HOSO6961,NV819,BN2501,16/03/1939,16/06/2012,"2727 Murray Rue
New Sandrafort, PA 19367",8.70E+11,84123980521,6117287682,Ngo���
PeTER fiTzgeRaLd,73,Male,Obesity,15/05/2020,Angela Contreras,19746.83201,Urgent,20/05/2020,Aspirin,Abnormal,HOSO5417,NV708,BN4737,13/02/1977,09/12/1951,"074 Wood Mission Suite 386
Port Mariah, MD 02055",8.40E+11,84914660404,9222123232,Tim m��
cathy sMaLl,51,Female,Asthma,23/12/2023,Wendy Glenn,26786.52956,Elective,19/01/2024,Ibuprofen,Normal,HOSO1488,NV469,BN4563,14/03/1960,13/03/1984,"02263 Carroll Valleys Apt. 681
North Williamside, WV 18856",2.57E+11,84602265621,9194873264,Ngo���
mr. KenNEth MoORE,34,Female,Diabetes,21/06/2022,James Ellis,18834.80134,Emergency,30/06/2022,Lipitor,Abnormal,HOSO9664,NV561,BN5331,13/08/1955,16/04/2005,"190 Michael Stravenue
Port James, AL 50697",5.80E+11,84861392830,9368874284,Da li��
MaRy hUNter,38,Female,Hypertension,03/01/2021,Jared Bruce Jr.,32643.29935,Emergency,16/01/2021,Penicillin,Normal,HOSO4530,NV127,BN4577,19/03/2021,03/08/2008,"Unit 0363 Box 1977
DPO AP 11012",3.69E+11,84288652084,3150226124,Ngo���
jOSHUA OLiVer,63,Female,Hypertension,03/10/2023,Brandy Mitchell,5767.011054,Elective,12/10/2023,Paracetamol,Abnormal,HOSO2284,NV638,BN2652,05/09/2011,10/09/2008,"66000 Carroll Mountain
Aliciamouth, VA 40832",7.33E+11,84727963625,5504327835,Nhi khoa
ThOMAS MartInEZ,34,Male,Asthma,18/08/2019,Jacob Huynh,47909.12881,Urgent,01/09/2019,Ibuprofen,Inconclusive,HOSO1659,NV354,BN2406,12/07/1946,25/09/1952,"902 Gregory Hollow
West Paulstad, NJ 94494",5.85E+11,84018087855,2055184980,Nhi khoa
JAmES pattERson,23,Female,Arthritis,03/11/2019,Kristina Frazier,25835.32359,Urgent,29/11/2019,Penicillin,Abnormal,HOSO6642,NV824,BN1821,26/05/1988,05/06/1988,"842 Freeman Estates
Brendatown, AZ 91933",9.18E+11,84217656619,9023179660,Nhi khoa
WilLIAM cOOPEr,78,Male,Arthritis,18/05/2023,John Hartman,17993.2262,Elective,15/06/2023,Penicillin,Normal,HOSO8524,NV645,BN5302,31/07/1941,10/10/2020,"79404 Rebecca Isle
Davishaven, ND 75455",8.48E+11,84356698306,2424144653,Da li��
Erin oRTEga,43,Male,Cancer,24/05/2023,Heather Garcia,21185.95353,Elective,03/06/2023,Ibuprofen,Normal,HOSO9353,NV899,BN9860,03/05/1935,01/04/2003,"619 Timothy Hill
Mollyberg, MO 95280",6.02E+11,84592126211,1963594606,Tim m��
NicOlE RodriGUEz,30,Female,Diabetes,17/01/2020,Lynn Young,8408.949354,Emergency,10/02/2020,Lipitor,Normal,HOSO5330,NV949,BN4277,03/01/1968,27/09/1961,"2010 Howard Field
North Samanthamouth, AR 73471",7.16E+11,84119886771,3901404033,Nhi khoa
DAvID AndErSON,25,Female,Asthma,07/01/2021,Emma Allison,45453.41855,Elective,26/01/2021,Lipitor,Abnormal,HOSO2939,NV888,BN2123,01/05/1963,03/07/2024,"814 Phillips Mall
Port Brian, MO 53947",1.84E+11,84314279163,7883411347,N���
DEnIse ToRRES,33,Male,Diabetes,14/10/2019,Laura Myers,4397.776995,Urgent,19/10/2019,Paracetamol,Inconclusive,HOSO1687,NV217,BN2536,04/04/2023,04/11/1959,"8144 Cross Haven Apt. 150
Michaelmouth, TX 05241",7.86E+11,84286298466,9927633884,Tim m��
CasSAndrA Robinson,26,Female,Hypertension,19/12/2021,Travis Parsons,9380.325968,Urgent,16/01/2022,Ibuprofen,Normal,HOSO7052,NV867,BN6485,31/12/2019,28/02/1953,"9337 Sheri Extensions
Chasemouth, NY 71358",6.10E+11,84966886828,1113276854,Da li��
NIcOlE LUcErO,70,Female,Diabetes,12/03/2022,Christine Johnson,48290.69341,Emergency,29/03/2022,Lipitor,Abnormal,HOSO8896,NV873,BN1164,10/06/1944,12/09/1995,"PSC 2616, Box 9594
APO AE 53286",7.11E+11,84538802274,2397384776,Ngo���
PAmela fErNanDeZ,57,Female,Obesity,17/01/2021,Emily Taylor,32973.94083,Urgent,29/01/2021,Penicillin,Abnormal,HOSO2823,NV956,BN2723,24/10/2004,05/03/1970,"6768 Thompson Valleys Apt. 112
New Angelaport, IN 82848",5.50E+11,84698005032,1142141841,Da li��
chRiSTOPHer LEe,74,Female,Hypertension,15/09/2021,William Reynolds,49943.2785,Emergency,05/10/2021,Lipitor,Normal,HOSO7196,NV878,BN6462,04/10/1959,30/05/2007,"PSC 3836, Box 4666
APO AE 62822",5.03E+11,84355294046,5296221787,N���
ThomAS morsE,81,Male,Hypertension,27/01/2020,Jennifer Carter,35633.95545,Urgent,09/02/2020,Aspirin,Normal,HOSO7818,NV863,BN1764,04/11/2017,28/06/2014,"30117 Lee Lake
Hallfurt, DC 18725",1.49E+11,84834797441,3376549868,Nhi khoa
Mr. eRiC Lane,49,Female,Asthma,24/06/2022,Matthew Thomas,25966.32861,Elective,18/07/2022,Paracetamol,Normal,HOSO6486,NV681,BN3981,24/10/2023,24/05/1957,"41415 Jay Ranch Suite 992
Angelicashire, VA 13598",1.97E+11,84718819363,7966572417,Tim m��
KAThEriNE SmiTH,26,Female,Obesity,09/06/2021,Mary Logan,21784.44507,Urgent,01/07/2021,Paracetamol,Normal,HOSO4527,NV570,BN8727,22/11/1982,07/06/1988,"6386 Good Locks
Gonzalezview, DC 15378",4.59E+11,84117354976,7107606248,Nhi khoa
pAUL wILLiAmS,81,Female,Cancer,23/08/2020,Kristin Martinez,42684.55888,Urgent,08/09/2020,Penicillin,Abnormal,HOSO5042,NV881,BN3936,12/04/1992,25/05/2020,"846 John Meadows
Port Haleyview, UT 86893",1.94E+11,84176434552,3423329969,Ngo���
lYNn MaRtinez,65,Male,Cancer,12/10/2022,Daniel Murphy,45585.88656,Emergency,02/11/2022,Penicillin,Normal,HOSO8752,NV547,BN4459,23/07/1993,24/06/1957,"9671 Michelle Forge Suite 946
Lake Omarton, OR 55906",4.58E+11,84573627880,8735536358,N���
chRIsTOpHEr CHaPmAN,31,Female,Hypertension,01/12/2021,Emily Patterson,29615.44186,Elective,09/12/2021,Paracetamol,Normal,HOSO8886,NV549,BN5518,07/08/1965,22/04/1935,"631 Horn Common Apt. 677
Josephbury, NH 18350",2.63E+11,84214162973,1483966250,Ngo���
CHRis fRYe,58,Male,Diabetes,04/05/2020,Heather Smith,36992.27369,Urgent,13/05/2020,Aspirin,Normal,HOSO3561,NV119,BN3932,11/11/2020,24/12/1950,"024 Dawn Turnpike
Tiffanyland, PA 46967",9.35E+11,84793404268,5021928450,Nhi khoa
kyLE bEnneTT,22,Male,Hypertension,09/09/2023,John Smith,28051.49948,Urgent,23/09/2023,Ibuprofen,Abnormal,HOSO6797,NV299,BN7514,02/12/2010,12/05/2008,"1372 Gregory Creek
Tracyport, KY 42333",1.37E+11,84499583468,9974059545,Da li��
BRandOn coLLINS,77,Female,Asthma,19/07/2019,Cameron Young,16320.23245,Urgent,29/07/2019,Ibuprofen,Abnormal,HOSO5872,NV940,BN8823,12/07/1935,30/11/2012,"64376 Jordan Forges Apt. 687
Lake Thomas, VT 49236",6.78E+11,84950210008,7744761614,Tim m��
mIchael LiU,30,Male,Hypertension,05/04/2024,Vicki Nguyen,30590.54181,Emergency,22/04/2024,Paracetamol,Inconclusive,HOSO7939,NV792,BN8316,08/11/1987,11/03/2017,"12899 Richard Expressway
Pagestad, ID 65952",7.63E+11,84739572746,7729885572,Tim m��
STepHaNie kEnt,42,Female,Cancer,15/06/2019,Mary Moss,14681.01636,Emergency,05/07/2019,Ibuprofen,Abnormal,HOSO9910,NV855,BN6423,05/05/1939,04/09/2002,"52143 White Prairie Apt. 627
Christopherburgh, ID 20835",4.02E+11,84227450179,4451109010,Tim m��
JessE BaNks,67,Female,Cancer,29/10/2022,Alexander Garcia,21879.53191,Urgent,20/11/2022,Penicillin,Inconclusive,HOSO5129,NV948,BN2985,03/03/1993,06/08/1977,"3752 Parker Views Suite 450
North Laurenland, TX 73007",8.40E+11,84241286400,5414625108,N���
PeGGY LEe,24,Female,Obesity,08/04/2022,Patrick Burns,6767.634397,Elective,13/04/2022,Lipitor,Abnormal,HOSO6967,NV481,BN7230,26/03/1977,31/01/2012,"883 Duran Cape Suite 437
Parkston, SC 44836",1.47E+11,84887480270,7129022878,Ngo���
TAmARa hErNAndez,84,Female,Asthma,17/08/2023,Kayla Powers,19973.46293,Elective,11/09/2023,Ibuprofen,Inconclusive,HOSO9994,NV166,BN8599,23/06/2024,19/11/2004,"96259 Thomas Lakes Apt. 962
North Donna, MA 47742",8.39E+11,84633617731,1776806229,Tim m��
mR. DAVID pIERce Md,73,Female,Hypertension,05/11/2023,Julia Cox,14362.31449,Emergency,07/11/2023,Paracetamol,Inconclusive,HOSO3856,NV451,BN4975,27/01/1993,09/07/1968,"14804 Colleen Forks
Woodsshire, NV 33766",1.71E+11,84536002898,5969391873,Nhi khoa
beThaNY MoOrE,55,Female,Cancer,09/04/2023,Penny Pruitt,10300.65731,Emergency,21/04/2023,Paracetamol,Normal,HOSO2062,NV242,BN6795,26/07/1998,03/06/1964,"63537 Keller Viaduct Suite 359
West Jessica, PA 08617",1.96E+11,84877276826,6020583107,Nhi khoa
MIChael MIllS,23,Male,Hypertension,21/09/2022,Mrs. Lori Hurst PhD,37951.66491,Emergency,25/09/2022,Ibuprofen,Inconclusive,HOSO7873,NV767,BN1469,05/09/2014,06/09/1954,"08548 Jason Locks
Brownmouth, UT 74599",9.43E+11,84027459742,6302559266,N���
kyle Wiley,40,Female,Cancer,21/01/2021,Stephen Carr,6733.990947,Urgent,06/02/2021,Ibuprofen,Normal,HOSO5535,NV913,BN4311,29/04/1950,12/10/1990,"366 Mary Streets
Benjaminton, CA 55584",5.09E+11,84811250666,8007359199,Ngo���
jACqUeLINE jORdaN,51,Male,Hypertension,10/07/2020,Jacob Daniel,17839.74565,Elective,20/07/2020,Paracetamol,Abnormal,HOSO1484,NV124,BN2710,13/05/2013,19/01/1985,"748 Curtis Spur Apt. 354
Comptonchester, MT 78609",8.99E+11,84006106880,6362787649,Nhi khoa
ASHleY guTIERreZ,83,Male,Obesity,06/11/2019,Tyler Braun,24637.09006,Elective,22/11/2019,Paracetamol,Inconclusive,HOSO5923,NV267,BN8806,20/03/2008,06/09/1936,"469 Giles Burgs Apt. 181
Parkberg, IN 10167",7.99E+11,84629595941,7610399001,Da li��
Kim ScOtt,63,Male,Asthma,07/04/2024,Cindy Ellis,39723.16605,Emergency,04/05/2024,Ibuprofen,Inconclusive,HOSO9145,NV457,BN2295,16/09/2007,30/09/1937,"9725 Woodward Common Suite 460
Amandaside, NE 84283",6.77E+11,84792352730,5214956043,Nhi khoa
tRAvIs carTeR,18,Male,Cancer,06/07/2022,Megan Hahn,48407.38629,Emergency,18/07/2022,Aspirin,Normal,HOSO7927,NV184,BN7603,10/07/1962,17/05/2006,"59477 Kyle Skyway
North Olivia, CT 17301",2.58E+11,84109961626,7256842205,N���
LArry rodgeRs,23,Female,Hypertension,03/08/2022,Eric Kelly,5517.393642,Elective,10/08/2022,Aspirin,Inconclusive,HOSO9448,NV494,BN3904,06/06/1952,31/10/1944,"Unit 2800 Box 3806
DPO AE 19495",8.81E+11,84429233728,5447155635,Tim m��
Nancy glOVeR,58,Male,Hypertension,08/05/2020,Jennifer Larson,19183.16889,Emergency,01/06/2020,Aspirin,Abnormal,HOSO9042,NV282,BN7795,31/08/1949,07/03/1967,"70839 Clayton Cliff
Port Stephanie, MN 97619",6.46E+11,84512478216,3058190522,Da li��
JessIca king,27,Male,Cancer,09/12/2019,William Hess,8320.660803,Urgent,21/12/2019,Lipitor,Abnormal,HOSO3612,NV324,BN1883,11/01/2000,13/05/1969,"5864 Scott Inlet
Burtonfort, VT 46133",8.49E+11,84957809660,5301287558,Tim m��
ChRiStOPhER gOnzAlez,59,Male,Diabetes,21/11/2019,Patricia Dunn,10107.18765,Emergency,08/12/2019,Penicillin,Abnormal,HOSO4923,NV291,BN4709,05/02/1938,06/11/1944,"0756 Taylor Trafficway Apt. 569
Jamietown, MO 55364",3.22E+11,84249943283,5004701117,N���
jOhN hARTmAN,27,Male,Hypertension,07/01/2023,Jack Jackson,49402.29837,Elective,27/01/2023,Lipitor,Inconclusive,HOSO5703,NV999,BN2377,25/08/2019,14/07/1943,"USS Cruz
FPO AP 35279",1.25E+11,84309779401,5004361889,Da li��
MicHAEl MillEr,31,Male,Diabetes,06/02/2024,Jonathan Drake,35776.81511,Emergency,10/02/2024,Penicillin,Normal,HOSO7158,NV491,BN3550,27/01/1998,08/04/1993,"9821 Ryan Views Suite 062
South Wandamouth, ME 38111",5.51E+11,84114562089,2431950431,Tim m��
Erica myERS,19,Female,Arthritis,30/01/2020,Ian Benitez,20227.86373,Elective,12/02/2020,Penicillin,Normal,HOSO1842,NV649,BN8705,08/05/1992,12/06/1952,"12437 Miller Trail
South Elizabeth, AK 59526",4.02E+11,84287787521,4676114474,Ngo���
cAROl PaTtERSoN,29,Female,Cancer,24/10/2022,Jamie Baker,19328.11858,Urgent,07/11/2022,Ibuprofen,Normal,HOSO1813,NV189,BN5840,19/10/2007,30/09/1965,"931 Davis Rest Suite 599
Jacobfurt, WI 81508",6.01E+11,84144201143,9190247338,Da li��
JOSe LopEz,18,Male,Obesity,09/01/2022,Erika Jackson,46956.54573,Emergency,15/01/2022,Aspirin,Inconclusive,HOSO7466,NV613,BN5346,03/04/1943,14/05/1964,"45187 Matthew Loaf
Nelsonhaven, MD 26791",3.17E+11,84554350768,6752919892,Ngo���
kEVIn SiMmoNs Jr.,24,Male,Cancer,28/12/2023,Amanda Garcia,10709.69039,Emergency,02/01/2024,Paracetamol,Abnormal,HOSO7838,NV733,BN2685,19/07/1957,03/12/2011,"1675 Theresa Greens
New Amandaport, TX 36581",5.33E+11,84540397192,8546672327,Tim m��
DuANe HaneY,27,Male,Diabetes,16/09/2021,Raven Wong,45353.99078,Urgent,14/10/2021,Penicillin,Abnormal,HOSO2759,NV601,BN4450,13/09/1965,09/03/1958,"129 David Light Apt. 978
North Ritaberg, CT 78089",5.52E+11,84301432919,1362113834,N���
JONathAn yaTeS,57,Female,Arthritis,24/07/2023,Cynthia Scott,8451.001758,Elective,11/08/2023,Paracetamol,Abnormal,HOSO3181,NV316,BN9499,24/01/1956,26/09/1978,"511 Johnson Mountains
Christyport, MT 71691",4.06E+11,84453196106,9967432594,Da li��
johN THoMaS,74,Female,Arthritis,13/11/2021,Mark Padilla,29850.87973,Emergency,07/12/2021,Paracetamol,Inconclusive,HOSO6861,NV917,BN6541,05/07/2013,20/07/1943,"825 Simpson Centers Suite 473
Marksborough, RI 76736",5.40E+11,84512419769,3451990880,Nhi khoa
AdriaN BuckLEY,22,Female,Arthritis,11/10/2023,Julie Ramirez,42696.52116,Urgent,27/10/2023,Penicillin,Normal,HOSO1262,NV965,BN3149,31/01/1972,02/06/1985,"4724 Martinez Stream
New Elizabeth, NC 77615",7.96E+11,84858649764,9678920323,N���
apRil SANTIAgO,33,Female,Diabetes,30/01/2021,Jacob Rich,2305.13914,Emergency,04/02/2021,Penicillin,Inconclusive,HOSO2186,NV757,BN3241,24/10/1963,19/02/1956,"93930 Jacob Mountain
Alexberg, VA 54016",4.04E+11,84390760793,4803180678,Nhi khoa
DIane scHultz,57,Male,Arthritis,21/11/2021,Mark Hartman Jr.,44437.47067,Emergency,05/12/2021,Penicillin,Inconclusive,HOSO3052,NV806,BN7238,04/12/1942,27/11/1994,"Unit 6669 Box 8344
DPO AP 19351",8.04E+11,84236060493,9602895678,Tim m��
tiMOThY myers,61,Male,Cancer,02/03/2024,Timothy Baker,29504.38744,Urgent,26/03/2024,Ibuprofen,Inconclusive,HOSO7715,NV593,BN1276,04/07/2014,06/09/1992,"1938 Charles Squares Apt. 786
New Stephaniehaven, DE 28088",5.79E+11,84520287760,5165734078,Tim m��
NICOLE HUGhes,20,Male,Arthritis,04/12/2020,Lori Sanchez,34617.78834,Emergency,08/12/2020,Ibuprofen,Abnormal,HOSO3080,NV575,BN6307,09/01/1944,29/10/1945,"11997 Jennifer Parkway
Antonioberg, IL 45166",3.78E+11,84355081330,6050431788,Da li��
ChAd MorEnO,67,Male,Hypertension,26/08/2020,Connie Boyd,46814.0112,Urgent,27/08/2020,Penicillin,Abnormal,HOSO9247,NV848,BN9686,28/11/1947,02/04/2024,"40333 David Gardens Apt. 031
Lake Carrieview, IA 66656",8.18E+11,84890248506,3919871535,Da li��
SeaN jenniNGs,80,Female,Diabetes,12/11/2023,James Tucker,20257.54428,Elective,12/12/2023,Penicillin,Abnormal,HOSO9278,NV186,BN1142,29/07/1996,30/11/1977,"81721 Nancy River Suite 742
Millermouth, IN 68457",1.78E+11,84709165706,6684932470,N���
DIAnE brAnch,44,Male,Obesity,30/05/2020,Juan Acevedo,22841.36388,Emergency,14/06/2020,Aspirin,Inconclusive,HOSO9900,NV536,BN3329,18/05/1988,20/08/1975,"89360 Kerri Stravenue
Weberfort, NJ 03441",8.57E+11,84198636758,2818256738,Tim m��
cindY OROzco,26,Female,Asthma,12/05/2023,Julie Finley,10283.71686,Emergency,10/06/2023,Ibuprofen,Abnormal,HOSO2736,NV366,BN3176,04/04/1975,02/12/1939,"537 Thompson Mount Apt. 595
Halechester, PA 76599",3.97E+11,84797349012,8439168255,Ngo���
pAtriCIa MEdinA,80,Male,Cancer,07/07/2022,Miguel Parker,1586.476601,Emergency,23/07/2022,Ibuprofen,Normal,HOSO6777,NV336,BN1363,15/06/1999,27/12/1998,"80304 Morales Glen
Allisonview, IN 31467",7.69E+11,84180418947,1475226664,N���
kayLa padillA,63,Male,Asthma,24/09/2020,Jermaine Peters,34774.35113,Emergency,08/10/2020,Penicillin,Inconclusive,HOSO6701,NV693,BN6197,11/03/2008,10/08/1939,"769 Goodwin Forges
Nathanielport, CT 82276",8.87E+11,84530045097,7580803125,N���
JUan klEiN,58,Female,Arthritis,19/08/2023,Lisa Edwards,24870.10366,Emergency,25/08/2023,Ibuprofen,Inconclusive,HOSO5182,NV523,BN5096,18/05/1977,04/05/1962,"0941 Guerrero Field Apt. 547
Warnerfurt, NJ 45169",7.65E+11,84661027124,9158397633,Tim m��
wILLIAM hIlL,38,Female,Cancer,16/05/2023,Matthew Walker,39476.94751,Elective,01/06/2023,Aspirin,Abnormal,HOSO6346,NV769,BN6321,19/12/1935,10/03/2008,"061 Yesenia Light Apt. 110
Davisberg, CT 48620",1.71E+11,84490663887,3827788415,N���
CARL BEst,60,Male,Hypertension,22/08/2022,Gregory Hansen,26062.43432,Elective,07/09/2022,Paracetamol,Inconclusive,HOSO4935,NV164,BN7936,29/11/1938,30/07/2019,"8296 Hayden Plains
East Angela, AL 27230",8.00E+11,84035957529,8736489925,Da li��
TInA GriFfin,49,Male,Cancer,17/06/2022,Jessica Cruz,25302.11263,Elective,28/06/2022,Penicillin,Abnormal,HOSO1547,NV370,BN4534,13/03/2024,22/10/1954,"42962 Stephanie Springs Suite 211
Lindsaymouth, NH 15978",8.33E+11,84843871393,1460082402,Da li��
MR. TYler TAYLOR Phd,80,Male,Diabetes,05/11/2022,Robert Salazar,10661.51065,Emergency,25/11/2022,Lipitor,Abnormal,HOSO3569,NV429,BN1160,26/09/1966,18/11/2005,"8566 Christian Branch Apt. 966
Pughport, OR 83667",2.99E+11,84177057618,4772566649,Da li��
TAyLoR howeLl Dds,35,Female,Diabetes,10/09/2021,Kyle Patterson,30358.19458,Elective,18/09/2021,Ibuprofen,Inconclusive,HOSO6302,NV364,BN1619,06/09/1967,17/07/1957,"576 Rodriguez Tunnel
Keithberg, NV 53633",4.41E+11,84903690827,9808016569,N���
mIcHAeL MaRTIn,84,Male,Asthma,06/09/2022,John Summers,23684.52547,Urgent,27/09/2022,Ibuprofen,Inconclusive,HOSO8957,NV913,BN3915,09/09/2008,16/11/1978,"028 Jose Keys
New Moniqueton, AK 86490",6.14E+11,84859173331,8789665006,Tim m��
